userid,tweet_count,link_count,thread_count
308167013,5,11,1
19929890,5,27,4
436943397,5,10,1
19284721,5,8,3
120474752,5,7,1
2556573511,5,8,3
15189196,5,5,5
1229628884,5,10,1
213326209,5,20,2
2620831379,5,7,3
1632592740,5,10,3
361725993,5,13,3
259198272,5,11,3
84396989,5,7,2
2399391152,5,7,3
428140124,5,16,2
418854161,5,7,2
256358298,5,6,5
1680832226,5,5,2
350166250,5,11,1
1377528656,5,14,1
453877580,5,9,1
107210124,5,25,2
2436705422,5,7,4
2384915342,5,5,5
4970411,5,52,5
105842518,5,8,2
122934798,5,6,5
282265521,5,9,4
1718673403,5,8,3
2875917137,5,9,2
59541272,5,9,1
527694004,5,11,2
120350623,5,8,4
517747314,5,5,5
2242427281,5,8,2
1208611675,5,5,2
2951345235,5,6,5
2223314346,5,6,4
742533474,5,9,1
77739297,5,5,5
17984709,5,9,2
18610440,5,10,1
54882415,5,6,5
76388579,5,14,2
27826729,5,9,1
133435893,5,20,1
2801061038,5,8,3
2901750487,5,6,4
476853918,5,8,5
299190586,5,10,3
745248356,5,8,5
255062000,5,5,5
244797164,5,9,1
722179561,5,11,1
1635183072,5,5,5
17078422,5,11,1
2432870707,5,9,2
359187177,5,9,1
307388232,5,9,1
2431432212,5,7,3
1599700260,5,9,2
2494924505,5,10,1
728542435,5,8,3
705821096,5,8,3
227629701,5,5,5
2891842919,5,5,2
2283416288,5,12,1
459799727,5,7,1
1562935142,5,51,5
266764912,5,8,1
2367689838,5,10,3
2494237140,5,7,4
2829408083,5,11,2
317743589,5,7,3
18329492,5,7,3
2544931616,5,7,4
2495801377,5,5,5
113087476,5,8,3
2313977869,5,5,3
39599748,5,16,1
2319062580,5,15,1
40199646,5,11,1
281913473,5,11,1
1877831,5,58,5
419403303,5,5,5
1020058453,5,31,5
2888944074,5,7,4
29979814,5,17,4
868371006,5,9,1
428284115,5,11,1
168376502,5,17,2
7702542,5,48,4
1094009750,5,5,5
146794529,5,5,2
2284965018,5,7,3
124176500,5,9,1
23464309,5,10,1
1972416156,5,11,1
2274722621,5,5,4
20357820,5,7,3
36716095,5,11,1
13496142,5,40,2
18424289,5,53,5
2474889544,5,6,3
171953871,5,49,5
2549309472,5,7,3
980688888,5,14,1
76380832,5,8,2
220981466,5,6,5
95212557,5,8,1
562236448,5,6,5
558772900,5,6,4
51524529,5,5,5
